map_id,opportunity_districts,democrat_count,republican_count,median_margin,num_districts,X Value,Y Value
0,4,6,8,-0.02,14,176.08,225.71
1,2,6,8,-0.07,14,169.87,155.53
2,3,6,8,-0.08,14,209.86,170.42
3,3,5,9,-0.04,14,150.21,162.96
4,2,5,9,-0.1,14,136.61,111.71
5,5,6,8,-0.03,14,190.5,219.21
6,3,5,9,-0.1,14,182.7,117.87
7,2,5,9,-0.08,14,140.91,104.45
8,3,6,8,-0.09,14,208.55,172.69
9,4,6,8,-0.11,14,218.33,175.6
10,3,7,7,-0.06,14,178.25,221.7
11,5,6,8,-0.01,14,186.65,226.83
12,3,5,9,-0.12,14,177.61,122.33
13,3,6,8,-0.06,14,172.0,212.33
14,3,6,8,-0.04,14,167.92,219.62
15,3,5,9,-0.06,14,152.54,155.81
16,3,5,9,-0.06,14,152.54,155.81
17,3,6,8,-0.05,14,169.9,215.97
18,3,6,8,-0.15,14,195.31,183.29
19,2,5,9,-0.08,14,140.91,104.45
20,4,6,8,-0.05,14,182.01,214.55
21,2,5,9,-0.04,14,109.12,154.92
22,3,6,8,-0.07,14,211.08,168.0
23,2,5,9,-0.07,14,142.75,100.8
24,2,5,9,-0.11,14,134.1,115.3
25,3,6,8,-0.07,14,211.08,168.0
26,3,5,9,-0.06,14,152.54,155.81
27,3,5,9,-0.08,14,186.97,112.74
28,2,5,9,-0.1,14,136.61,111.71
29,3,6,8,-0.09,14,208.55,172.69
30,4,5,9,-0.05,14,165.64,156.09
31,3,5,9,-0.06,14,152.54,155.81
32,3,7,7,-0.01,14,167.41,239.82
33,3,5,9,-0.1,14,182.7,117.87
34,2,5,9,-0.07,14,142.75,100.8
35,2,6,8,-0.09,14,167.74,161.35
36,4,5,9,-0.09,14,201.69,112.7
37,3,4,10,-0.08,14,191.33,120.24
38,3,5,9,-0.11,14,180.27,120.2
39,3,5,9,-0.06,14,152.54,155.81
40,3,7,7,-0.01,14,167.41,239.82
41,4,6,8,-0.05,14,182.01,214.55
42,4,5,9,-0.05,14,165.64,156.09
43,2,5,9,-0.06,14,110.4,148.69
44,4,6,8,-0.05,14,182.01,214.55
45,3,5,9,-0.07,14,188.85,110.0
46,2,5,9,-0.04,14,109.12,154.92
47,2,5,9,-0.11,14,134.1,115.3
48,3,6,8,-0.09,14,208.55,172.69
49,4,6,8,-0.05,14,182.01,214.55
50,4,7,7,-0.01,14,178.87,239.69
51,2,5,9,-0.06,14,110.4,148.69
52,3,6,8,-0.11,14,205.65,176.7
53,2,4,10,-0.06,14,116.7,159.88
54,2,7,7,-0.02,14,132.01,223.26
55,2,5,9,-0.08,14,140.91,104.45
56,3,6,8,-0.08,14,209.86,170.42
57,2,5,9,-0.06,14,110.4,148.69
58,3,5,9,-0.08,14,186.97,112.74
59,3,6,8,-0.06,14,172.0,212.33
60,2,5,9,-0.06,14,110.4,148.69
61,3,5,9,-0.07,14,188.85,110.0
62,4,5,9,-0.09,14,201.69,112.7
63,3,5,9,-0.09,14,184.92,115.37
64,3,6,8,-0.09,14,208.55,172.69
65,5,7,7,0.0,14,189.02,241.74
66,3,5,9,-0.08,14,186.97,112.74
67,2,7,7,-0.0,14,128.53,230.41
68,2,5,9,-0.11,14,134.1,115.3
69,2,6,8,-0.1,14,165.01,164.94
70,3,5,9,-0.05,14,151.34,159.37
71,3,6,8,-0.07,14,211.08,168.0
72,2,6,8,-0.05,14,131.5,205.21
73,2,6,8,-0.04,14,129.73,208.68
74,2,6,8,-0.05,14,131.5,205.21
75,3,6,8,-0.13,14,202.34,179.75
76,2,6,8,-0.07,14,169.87,155.53
77,3,6,8,-0.1,14,207.15,174.8
78,3,6,8,-0.08,14,209.86,170.42
79,3,5,9,-0.08,14,186.97,112.74
80,4,6,8,-0.05,14,182.01,214.55
81,3,6,8,-0.11,14,205.65,176.7
82,1,5,9,-0.08,14,149.99,108.15
83,3,5,9,-0.02,14,148.17,170.18
84,2,4,10,-0.11,14,140.23,124.99
85,3,4,10,-0.08,14,191.33,120.24
86,3,5,9,-0.04,14,150.21,162.96
87,4,7,7,-0.03,14,183.04,232.38
88,4,5,9,-0.06,14,167.11,152.35
89,3,6,8,-0.06,14,172.0,212.33
90,1,5,9,-0.03,14,115.59,160.07
91,3,5,9,-0.08,14,186.97,112.74
92,3,4,10,-0.08,14,191.33,120.24
93,2,5,9,-0.09,14,138.87,108.09
94,2,5,9,-0.11,14,134.1,115.3
95,2,6,8,-0.04,14,129.73,208.68
96,3,6,8,-0.1,14,207.15,174.8
97,3,6,8,-0.09,14,208.55,172.69
98,4,6,8,-0.02,14,176.08,225.71
99,3,6,8,-0.03,14,166.06,223.28
100,3,7,7,-0.03,14,171.41,232.53
101,3,5,9,-0.06,14,152.54,155.81
102,3,6,8,-0.11,14,205.65,176.7
103,2,6,8,-0.07,14,169.87,155.53
104,1,5,9,-0.08,14,149.99,108.15
105,3,6,8,-0.07,14,211.08,168.0
106,2,6,8,-0.02,14,126.54,215.67
107,2,4,10,-0.06,14,116.7,159.88
108,3,6,8,-0.06,14,172.0,212.33
109,3,4,10,-0.08,14,191.33,120.24
110,4,6,8,-0.06,14,184.19,210.86
111,2,5,9,-0.07,14,142.75,100.8
112,3,5,9,-0.05,14,151.34,159.37
113,2,7,7,-0.02,14,132.01,223.26
114,3,6,8,-0.06,14,172.0,212.33
115,3,7,7,-0.0,14,165.56,243.47
116,3,6,8,-0.06,14,172.0,212.33
117,4,5,9,-0.06,14,167.11,152.35
118,2,5,9,-0.07,14,142.75,100.8
119,4,6,8,-0.03,14,177.96,221.98
120,3,6,8,-0.03,14,166.06,223.28
121,2,5,9,-0.1,14,136.61,111.71
122,3,6,8,-0.06,14,172.0,212.33
123,3,5,9,-0.11,14,180.27,120.2
124,3,6,8,-0.05,14,169.9,215.97
125,3,5,9,-0.07,14,188.85,110.0
126,2,6,8,-0.03,14,128.08,212.17
127,2,4,10,-0.08,14,145.17,113.84
128,2,6,8,-0.08,14,168.95,158.44
129,4,5,9,-0.07,14,205.94,108.32
130,2,5,9,-0.07,14,142.75,100.8
131,3,6,8,-0.05,14,169.9,215.97
132,3,5,9,-0.1,14,182.7,117.87
133,3,5,9,-0.05,14,151.34,159.37
