Map,District,index,"(2020, <Office.PRES: 'Presidential'>, <Party.REP: 'Republican'>)","(2020, <Office.PRES: 'Presidential'>, <Party.DEM: 'Democratic'>)",G20PRELJOR,C20PRERTRU,C20PREDBID,C20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,S20USSRLOE,S20USSRCOL,S20USSRGRA,S20USSRJAC,S20USSRTAY,S20USSRJOH,S20USSDWAR,S20USSDJAC,S20USSDLIE,S20USSDJOH,S20USSDJAM,S20USSDSLA,S20USSDWIN,S20USSDTAR,S20USSLSLO,S20USSGFOR,S20USSIBUC,S20USSIBAR,S20USSISTO,S20USSIGRE,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL,R21USSRPER,R21USSDOSS,R21USSRLOE,R21USSDWAR,R21PSCRMCD,R21PSCDBLA,RacialDemographic.TOTAL,RacialDemographic.HISPA,RacialDemographic.WHITE,RacialDemographic.BLACK,RacialDemographic.NATIV,RacialDemographic.ASIAN,RacialDemographic.HAWAI,RacialDemographic.OTHER,"(2016, <Office.PRES: 'Presidential'>, <Party.DEM: 'Democratic'>)","(2016, <Office.PRES: 'Presidential'>, <Party.REP: 'Republican'>)",area,perimeter
0,1,2220341.039076723,251728,107343,4764,251506,107241,4768,247583,103216,9516,137120,89357,5488,4473,4479,3718,68478,14119,7914,4653,4407,2140,1402,838,3055,1094,1354,1055,795,1323,245245,96437,13435,242001,97948,12055,217091,97103,215992,98165,217247,93739,775683.580507347,66728.84655801147,545389.5490714215,116312.71614676692,1697.1590113954255,9413.552877833165,286.68746740747673,32168.36333871047,74051.02673528266,205996.61777617683,0.8752242441158449,9.12746820068691
0,2,1135076.935483989,94940,231230,3588,94928,231175,3589,93597,225948,7361,51824,32218,2362,2141,1442,1644,157027,31664,9427,11065,9447,4139,2654,1304,1852,1018,1123,1033,923,821,93041,218740,11934,91877,219727,9350,82272,218395,81189,219520,83485,214550,770368.8466978156,121982.60654881451,195974.8225344109,370169.03322133474,1356.8130149696358,49852.69504835026,378.84138350768825,25746.976694203397,182031.01600311624,82695.25711757645,0.21813412757751666,6.092880334428617
0,3,2331253.710878615,173665,182662,4263,173607,182593,4262,173745,175018,7813,95286,65764,3117,2795,2236,2482,114651,23746,7700,7063,8091,2996,2497,9579,2143,944,1176,1029,722,897,172278,168341,11100,170356,168707,9368,155917,166364,155333,167080,157248,161142,777679.9318382174,38784.192039430854,363763.59424341726,324483.4412914022,1628.94770041673,16220.931644863906,811.1832668533416,28939.97354770822,147826.52456246482,151717.72969859903,1.6361157807745108,12.52278847084498
0,4,1929247.9971523308,195837,180006,6376,195819,179906,6388,197286,171080,10635,112706,69254,3585,3759,2734,2241,117081,23095,11248,7070,6752,3522,1887,1297,3931,1478,1553,1166,1090,1030,196493,160114,17629,194558,162104,15032,179942,162130,177553,164496,182260,156195,756433.5839531069,113992.55109617981,419625.10892619437,154379.60805017737,1351.1624919755172,27806.445185231376,304.4995579152354,33186.855633657906,125600.55157603051,170538.395977042,0.20431285404358238,7.04708451354719
0,5,1985912.1693614756,264976,101599,4800,264985,101452,4795,263405,94958,9387,124907,119139,5511,4645,3455,3707,56098,15085,10494,3945,3023,2149,1483,1120,3222,1235,1399,1057,824,1265,260913,86219,13656,257450,87416,12644,239960,89515,238431,90931,241279,84499,752332.5342499056,90396.43478878886,545029.6989711332,26231.85558751531,1636.4805176155721,58133.76143322715,265.21624052175684,27769.00972517977,64064.86397170293,213781.49833657607,0.7981718554793958,11.069476763103166
0,6,1238496.838063054,79876,289886,3704,79937,289934,3716,78724,283369,7701,42898,27792,1840,1845,1198,1211,208360,35598,9812,11309,11079,5004,2814,1430,1697,1031,1049,979,2026,760,78626,275389,12244,77293,276688,9559,69219,275574,68154,276757,70646,270698,779672.1631777736,71109.92106295963,178115.7640541537,470971.4540750611,1397.282161926528,27152.69565478302,295.37636173004086,25681.646593548903,230162.06280247896,72551.31686637673,0.1555497837575675,3.6712717644712844
0,7,2504295.656891924,97628,261809,4863,97606,261610,4892,103310,249717,8364,59996,34185,1729,2200,1279,1196,182578,28511,12856,9448,9359,4542,2380,1621,2459,1355,1303,1069,1270,908,104325,237250,14794,103099,239393,11842,97626,240809,94717,243700,100243,234265,751033.5163252904,66454.23199837908,268424.677270149,345214.16838265787,1228.6037647048538,36310.91233357633,268.8931559311282,27609.882122158542,208888.78169675072,87046.89462727934,0.07654494673993756,3.716409197282111
0,8,2365265.338206531,166354,164599,3301,166403,164537,3301,166172,157978,6341,82496,70163,3554,2640,2466,2261,105671,23920,8022,7404,6679,2886,2256,1667,1752,746,1149,1106,678,906,163810,151944,9286,161538,152971,7604,147593,150258,147261,150711,148203,145972,773996.0754490645,46998.565752823684,352662.5794894109,329240.04569269926,1619.2847046526965,13862.056001807678,838.2563509113404,26034.037389183057,137552.47543753518,147216.27030140097,2.435406074185997,13.513298592080512
0,9,2443482.287250378,212175,88075,2568,212278,88048,2574,209802,83569,5481,96640,89783,5020,3072,8142,3497,45666,16870,5798,5418,4789,2072,1283,1147,1443,644,1229,955,471,803,206689,78956,7220,202315,79937,6301,186393,78155,186240,78413,185623,75369,751813.6183289747,62971.77101706571,453765.3108027565,204052.85765105838,1499.451682671137,6386.243320768309,270.5250935382453,20847.756338314037,73194.0,181104.0,3.8678483002169823,15.873360384948688
0,10,2021835.3553141684,196752,182472,4226,196849,182769,4231,195369,176696,8124,106575,74223,3704,3092,2497,2493,126566,23155,7923,7661,7393,3228,1998,1050,2347,903,1144,973,933,763,193925,169395,12540,191610,170874,10250,174986,170643,173687,171984,176334,166180,771498.1845219432,48026.41747986135,381359.75637980783,295385.31839144847,1453.2751317126426,13806.146064628494,326.95536626242944,27218.434386891142,138695.62284343826,167496.6168437129,0.9762901406323232,8.821660873525607
0,11,1059525.048020683,174455,176441,4931,174461,176525,4931,173378,170389,9518,86591,70161,4428,3758,2409,3085,104353,26599,11686,11574,7149,3617,2304,1268,2900,1217,1300,1117,983,1032,171946,161362,14670,170549,163046,12263,153122,161697,151575,163156,154943,156919,768572.0106843713,155160.32454192918,322504.8083918527,186693.38334428708,1236.2966386832384,70135.34164426546,296.26255394892803,27673.226154099528,117542.96801400442,151479.8590708846,0.1511004094209027,3.593424507426679
0,12,2528219.3835417363,179447,153277,4848,179443,153282,4848,177485,147967,8194,92934,66315,4836,3889,3639,3887,95722,22051,9299,7353,6048,3099,1515,1454,2720,1112,1593,1233,925,1020,176844,139286,12431,174519,140072,10549,160084,139182,159789,139471,161062,134659,772081.1944408619,56455.09992018928,430863.3633859401,229089.34779098068,1848.6484732274916,17339.191987258702,1250.1714050562691,31805.168354550548,118064.0,146833.0,1.7898576230089995,12.488625986603147
0,13,2153998.821984074,240347,116699,4595,240353,116697,4597,239588,110715,8457,102094,124139,3821,3040,2599,2679,74882,15450,7222,4593,3778,1903,2046,894,2694,996,1105,842,724,783,236740,103946,12371,235110,104545,10910,215496,105521,214207,106767,216768,100866,756846.0145305899,74233.30923133293,520804.7217511547,115695.85899930862,1431.6315071842243,15536.335241042658,240.12527771393437,25715.72391165103,88816.99999097527,191378.99998431318,1.546551849485627,12.115638206033841
0,14,1800784.4187743173,133657,238409,5311,133679,237864,5337,143173,223899,8147,81147,47961,2597,2986,1774,2075,159902,24255,16620,8211,6412,3648,2168,1664,3216,1520,1477,1026,954,982,144306,207946,15701,142973,209541,13469,135278,214577,131713,217962,139348,205909,753896.7452947379,110162.72796423365,383872.2447281972,110199.911375302,989.9631988643071,113723.6915623635,268.00651870218536,29735.945810143447,171472.10636622002,119267.54340006188,0.06292786014526945,3.089175315708344
1,1,2243876.4039740036,191449,148486,4409,191492,148498,4410,188995,143496,7769,97030,71980,4568,3741,5632,3911,94849,20967,8554,6945,5624,2859,1440,1170,2411,1029,1479,1204,828,954,187538,135188,11673,185037,135856,9901,170754,135460,170398,135852,171453,131040,775907.3920846675,59372.205529704814,435332.4934479397,228677.45349074,1757.3038795340487,16334.252497047697,1165.2672414534134,30054.97222853956,114555.0,157577.0,1.9305830344584998,10.806071541612855
1,2,2534402.018776858,169419,149207,2900,169464,149136,2896,169180,143014,5630,82958,72881,3403,2464,2469,2266,95200,21944,7287,7032,5762,2655,2085,1481,1514,666,1086,1049,607,845,166476,137201,8520,164331,137940,6875,151006,135980,150649,136477,151639,131727,763564.3647034122,48078.39282605714,358491.88535161567,317130.6932864746,1503.3960293949087,11588.692862427244,783.7234595547745,23484.702894163333,128169.43162221274,150405.5677158305,3.0162790825745933,12.56469074270062
1,3,2390074.368203121,188601,160592,4265,188592,160582,4267,188908,153459,7446,101520,73653,3402,2869,2426,2626,96115,22365,7592,6628,6853,2740,2028,9638,2214,934,1278,972,761,895,187101,146619,10914,185207,146965,9260,170698,145556,170142,146156,171787,140484,762212.3373897171,40173.344868786604,398330.45725154615,276427.00892467547,1579.8484748066592,14405.062096651398,796.6490740450026,27607.85810843655,129362.05200510604,160989.21537575813,2.4098765523035213,12.726584724638808
1,4,2357488.795360671,202688,114848,3495,202747,114817,3504,200868,109273,6959,94814,84333,5425,3478,6109,3401,62926,20454,7303,6366,6287,2575,1637,1425,2010,804,1312,1054,646,920,198874,104287,8989,194533,105656,7884,177429,102753,177252,102975,176997,99846,766057.6438860173,59624.75151604675,439113.9138466713,225389.73105668323,1740.4682436967958,10654.953406522998,429.1853890233277,26516.42376370023,90314.74610491666,172246.26891879,2.8158810034324926,16.767206826724962
1,5,1037504.7686156105,173611,173834,4730,173613,173790,4735,173324,167399,8886,92919,63642,4069,3716,2574,2946,105267,25147,11465,10213,7010,3396,2268,1273,2821,1150,1287,1134,957,1004,171989,158404,13846,170618,159742,11764,153919,158569,152362,160085,156054,153517,759667.0349584328,117230.56064280799,328254.1451079113,186697.25670318454,1212.1129144760566,92994.80373118748,379.49645802480603,28093.29088193415,117925.05434702057,146189.5803163276,0.19123577036406939,5.050411830870026
1,6,1636826.7976976358,210424,178590,4401,210486,178735,4405,209174,172175,8474,116180,78117,3796,3109,2624,2728,123201,22345,8192,6815,7197,3078,2280,1076,2544,937,1216,1026,886,840,207709,164814,12811,205513,165668,10749,187507,164606,186262,165939,189088,159492,777841.5336898691,44118.943890915645,403700.5459702413,278962.0384363222,1378.2346978370651,17695.63806761047,293.139630922573,27824.448410599543,132002.5703161361,183236.2278267173,0.882239680360083,10.348992100369166
1,7,1918965.6375960228,140304,224464,5312,140296,224347,5321,140347,216700,9699,80599,47700,2858,3124,2168,1789,152162,28942,10541,9220,9630,4248,2317,1451,2953,1303,1385,1183,1160,999,140376,207468,15675,138864,209300,12906,126087,207984,124197,209891,128263,202877,766602.8600886688,112955.28669256913,299320.22366693843,294741.38598593854,1442.6869846731258,21131.1528938461,362.9004835683126,30926.99467616556,168145.3579872904,125404.46272520057,0.11354233296878599,3.8832530749970386
1,8,2336879.346093204,266832,82665,4628,266630,82584,4633,262239,78656,9457,136369,102771,6257,5043,4682,4146,45816,12206,8805,3476,3050,1917,1305,989,3168,1152,1431,1104,753,1446,258610,71619,12969,254650,72895,11951,232265,72854,231473,73594,232063,69285,774353.5443873676,97932.52895649194,588242.5327719435,45922.06050904482,1702.079770294032,8328.085242215988,268.51077629066134,29397.28803569903,57625.0808316115,216156.4150974529,1.025948828885998,9.676948257001296
1,9,1887717.4554717701,237858,175852,6461,237757,175107,6483,243914,162955,10371,134715,90438,4234,4412,2814,2965,109953,20929,14839,6208,4515,2968,1883,1356,4050,1578,1736,1164,1050,1277,243644,148833,17829,241411,150614,15943,227711,155657,224343,158844,231635,147396,763841.8557403601,79195.8471996869,487306.1438715336,61598.35094191172,1127.987682017151,97577.33983019026,288.2757067523619,31661.252929986666,112158.87666192562,203861.0186462924,0.175229956649961,5.399130121555515
1,10,2124164.597054973,248715,104213,4775,248757,104228,4776,247219,98524,8930,92608,142363,3876,3082,2489,2623,65803,13429,7284,3980,3163,1815,1901,863,2862,1062,1098,831,698,785,244093,91716,13063,242236,92451,11668,222562,93484,221221,94752,223627,89072,761345.7715461276,99844.36123473663,545714.3847967704,68994.84677986609,1586.3055108827623,15229.247716997928,258.311569115328,26648.525540790066,76679.94797774016,199110.78454719862,1.187669515188711,10.502002233935547
1,11,2192833.516117792,176698,185849,4019,176740,186058,4027,173615,181307,8300,95328,64114,3580,2999,2728,2510,128695,24351,7603,8205,8069,3553,1997,1024,2161,914,1078,938,1179,886,172389,174786,12174,169811,176739,10090,152637,174752,151612,175838,153269,171382,775861.4227583446,53714.10906777428,359299.88664228446,319983.1788936045,1583.3715721450737,9134.153620941917,294.31172699914066,27700.6094557379,144110.28427855583,146450.27637489774,0.8017843814538588,10.821680886884572
1,12,2021750.7215202856,122061,255398,5654,122006,255172,5652,133227,239374,8217,77604,44055,2012,2569,1490,1461,176119,24632,15903,8100,6998,3862,2090,1723,3286,1592,1458,963,1048,854,134982,222151,16334,133637,224275,13447,127761,228400,123602,232402,131420,219259,763188.6272068754,121044.85929861657,400791.5315647671,137029.1013646361,1091.6211922024793,66011.02732756818,262.24248567130974,30902.3011311507,190263.69393254898,109995.00153534704,0.056188144425305245,2.959989815405463
1,13,1085223.2964419038,88525,241042,3811,88525,241089,3814,87754,235000,7862,47291,29639,2850,2348,1296,1920,160040,33032,11091,12518,9401,4299,2768,1388,2014,1179,1139,1071,926,866,87369,226541,12830,86336,227946,9909,77294,228116,76012,229368,78840,223679,751510.2013124372,121721.90894383921,187141.07863334706,342157.3381056814,1331.3541218286177,67575.6619620322,271.66996702773514,26152.494263060336,183968.35895312505,79951.65117258253,0.0842773371664949,2.4678030704189515
1,14,1950027.2770761484,44652,279467,3278,44749,279490,3306,43853,273187,7039,23279,14768,1262,1381,848,884,200889,33375,9562,11061,10847,4980,2688,1476,1423,993,971,947,1819,722,44031,265698,11384,43064,266922,8849,37349,265752,36316,266940,38554,261906,749953.4102477029,68449.89933196637,131116.77707649,494408.55552123673,1338.2289262112242,27019.928744760116,247.31603155125327,23161.837680036373,232682.54498181035,37530.52974760467,0.10330021809411491,3.4395600786885647
